ILMN
""
""
367.925
366.54
366.54
366.54
366.98
364.9
365.05
364.91
363.02
363.02
362.6
362.83
362.83
362.78
362.78
363.28
363.28
363.28
364.01
364.01
364.01
364.01
364.01
364.35
364.35
364.35
364.35
364.35
364.35
364.35
364.35
364.35
364.575
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
363.75
365.0
365.0
365.0
365.27
365.27
364.55
364.79
364.79
364.79
364.79
364.57
364.735
364.735
364.735
364.735
364.735
364.735
364.22
363.41
362.97
362.97
362.97
362.97
363.16
363.0
363.72
363.635
363.635
363.635
363.635
363.69
364.16
363.66
363.445
363.39
363.2
363.2
363.2
363.2
363.2
362.14
362.14
362.34
362.34
362.75
362.57
362.57
362.57
362.57
362.57
362.57
362.57
362.57
364.52
364.52
364.85
365.12
365.005
365.005
365.41
364.93
364.93
364.93
365.36
365.615
365.615
365.615
365.4
365.4
364.975
364.975
364.975
364.975
364.73
364.73
364.62
364.62
364.46
364.46
364.46
364.5
364.5
365.105
365.105
365.62
365.62
365.15
364.89
364.89
364.89
364.89
364.89
364.89
364.89
364.89
364.89
364.755
364.755
364.755
364.755
365.115
365.115
365.115
365.115
365.115
365.48
365.48
365.48
365.48
365.23
365.355
365.355
365.18
365.18
365.18
365.18
365.06
365.08
365.08
365.08
365.08
365.08
365.08
365.08
365.21
365.21
365.21
364.98
364.85
364.85
364.85
364.85
364.96
364.94
364.94
365.065
365.065
364.9
364.9
364.9
365.385
365.385
365.385
365.385
365.32
364.36
365.25
364.92
364.92
364.92
364.34
364.34
364.02
364.02
363.35
363.35
363.35
364.015
364.2
364.275
364.275
364.38
364.38
364.38
364.38
364.85
364.92
364.92
364.92
364.92
364.92
364.92
364.92
364.92
364.62
364.46
364.46
364.62
364.62
365.12
365.12
364.76
364.76
364.76
364.76
364.76
364.76
364.76
364.76
364.76
364.69
365.04
365.04
365.04
365.04
365.04
365.08
365.08
365.08
365.08
365.31
365.31
365.31
365.31
365.31
365.31
365.31
365.27
365.27
365.2
364.945
364.945
364.945
364.945
364.945
364.945
364.945
364.945
364.55
364.55
364.55
364.55
364.55
364.25
364.25
364.16
364.16
364.2
364.2
364.2
364.2
364.2
364.2
364.2
364.24
363.85
363.85
364.065
364.065
364.065
364.065
364.25
364.25
364.25
364.25
363.88
363.88
363.88
363.995
363.93
363.93
363.93
363.925
363.82
363.99
364.02
364.17
363.94
364.27
364.27
364.27
364.27
364.27
364.15
364.15
364.15
363.83
363.83
363.83
363.83
363.83
363.83
363.83
363.4
363.25
363.79
363.79
363.79
363.79
363.48
363.16
363.16
363.12
363.12
363.12
362.84
362.84
363.14
363.14
363.14
362.53
362.68
362.68
362.68
362.68
362.68
362.68
362.22
362.43
362.16
362.16
362.16
362.24
362.24
362.24
362.24
362.06
362.06
362.06
362.06
361.96
361.96
361.96
361.96
361.96
362.23
362.08
362.08
362.34
362.16
362.16
362.16
362.16
362.08
362.08
362.25
362.38
362.38
362.38
362.4
362.5
362.17
362.065
362.065
362.12
362.17
362.125
362.14
362.07
362.14
362.21
""
""
""
""
""
""
360.64
360.99
360.465
360.465
360.88
360.68
360.68
360.74
360.74
