EA
117.77
117.515
117.87
117.58
117.04
117.14
117.5
117.38
116.86
116.765
116.765
116.72
116.72
116.58
116.58
116.57
116.49
116.555
116.53
116.585
117.03
117.03
116.94
116.84
116.69
116.68
116.72
116.72
117.07
117.16
117.16
117.18
117.18
117.05
117.05
117.01
116.92
116.9
116.9
116.885
116.885
116.93
117.1
116.76
116.76
116.87
116.72
116.85
116.89
116.89
116.89
117.025
117.025
117.05
117.22
117.08
116.99
117.04
117.04
117.1
117.11
117.055
117.115
117.115
117.05
117.085
117.01
117.01
117.01
117.01
117.01
117.025
117.025
117.055
117.055
116.82
116.82
116.67
116.63
116.64
116.64
117.05
117.11
117.11
117.2
117.11
117.11
117.11
117.01
117.01
117.02
117.02
116.98
117.02
117.02
117.02
117.02
117.02
116.93
116.93
116.93
116.97
116.93
116.96
116.94
116.87
116.87
116.91
116.91
116.99
117.0
117.0
117.13
117.13
117.11
117.11
117.03
117.03
117.025
116.985
117.01
117.01
117.01
117.01
117.16
117.11
117.02
117.02
117.02
116.97
116.97
117.0
117.0
117.0
117.0
117.0
116.96
116.98
116.98
116.99
116.99
116.99
116.99
116.99
117.005
117.01
117.0
117.095
117.12
117.08
117.04
117.04
117.15
117.15
117.19
117.2
117.245
117.275
117.275
117.48
117.47
117.46
117.46
117.45
117.45
117.49
117.5
117.52
117.52
117.45
117.37
117.36
117.36
117.36
117.36
117.36
117.36
117.36
117.28
117.275
117.275
117.275
117.275
117.315
117.315
117.315
117.38
117.36
117.36
117.36
117.36
117.61
117.61
117.61
117.52
117.52
117.48
117.48
117.4
117.32
117.32
117.24
117.29
117.29
117.29
117.22
117.22
117.22
117.22
117.19
117.25
117.16
117.16
117.16
117.22
117.22
117.22
117.22
117.22
117.22
117.22
117.41
117.41
117.41
117.41
117.43
117.43
117.43
117.535
117.5
117.5
117.5
117.5
117.48
117.48
117.48
117.48
117.48
117.485
117.485
117.49
117.52
117.52
117.52
117.45
117.45
117.48
117.48
117.48
117.53
117.53
117.53
117.545
117.54
117.54
117.48
117.48
117.49
117.49
117.49
117.47
117.47
117.46
117.46
117.39
117.425
117.365
117.365
117.29
117.29
117.385
117.33
117.33
117.33
117.33
117.45
117.45
117.42
117.42
117.42
117.42
117.38
117.38
117.38
117.38
117.34
117.295
117.295
117.33
117.33
117.33
117.32
117.32
117.32
117.21
117.22
117.25
117.25
117.19
117.19
117.21
117.16
117.19
117.13
117.16
117.08
117.06
116.93
116.87
116.885
116.88
116.88
117.02
117.06
117.06
117.06
117.06
117.01
117.01
117.01
117.01
117.01
117.02
117.03
117.02
117.02
117.03
117.0
117.0
117.1
117.1
117.1
117.1
117.1
117.1
116.83
116.83
116.8
116.75
116.75
116.775
116.775
116.725
116.71
116.66
116.69
116.62
116.66
116.58
116.51
116.48
116.48
116.66
116.66
116.69
116.68
116.66
116.655
116.63
116.635
116.88
116.9
116.865
116.85
116.855
116.825
116.81
116.835
116.815
116.8
116.83
116.855
116.82
116.87
116.84
116.93
116.95
116.955
116.905
116.905
116.99
116.95
116.945
117.065
117.0
117.035
117.04
117.03
117.02
117.04
""
117.45
117.53
117.3
117.25
117.195
117.115
117.115
116.685
116.68
116.87
116.835
117.145
117.38
117.345
117.345
117.345
116.965
116.85
116.85
116.68
116.68
117.06
117.275
117.19
117.3
117.43
117.45
117.51
117.6
117.67
117.63
117.71
117.72
117.78
117.905
117.84
117.77
117.735
117.85
117.9
117.87
117.87
117.9
118.0
118.07
118.03
118.01
117.85
117.805
117.755
117.74
117.74
117.88
117.9
117.9
117.77
117.73
117.8
117.85
117.91
117.87
117.87
117.805
117.79
117.69
117.69
117.69
117.59
117.59
117.59
117.59
117.45
117.48
117.46
117.49
117.37
117.34
117.34
117.35
117.38
117.3
117.235
117.24
117.18
117.08
117.06
117.04
117.04
117.0
116.93
116.99
117.015
117.08
117.095
117.095
117.18
117.18
117.185
117.29
117.2
