CTXS
""
""
""
""
""
111.31
111.31
111.31
111.31
111.31
111.31
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
110.56
111.115
111.21
111.21
111.23
111.23
111.23
111.24
111.24
111.17
111.17
111.17
111.13
111.04
111.04
111.04
111.04
111.04
111.04
111.02
110.98
110.98
110.97
110.97
110.97
110.97
110.97
110.97
110.97
110.97
111.06
110.98
110.98
111.09
111.09
111.05
111.09
111.09
111.09
111.09
111.09
111.09
111.04
111.04
111.04
111.04
111.0
111.0
111.0
110.905
110.905
110.905
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.92
110.925
110.925
110.925
110.925
110.925
110.925
110.925
110.925
110.925
110.925
110.925
110.925
110.925
111.04
110.99
110.99
110.95
110.95
110.95
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
110.91
111.06
111.06
111.06
111.06
111.06
111.06
111.14
111.12
111.15
111.15
111.15
111.15
111.15
111.16
111.16
111.16
111.16
111.16
111.165
111.13
111.13
111.13
111.13
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.2
111.125
111.125
111.125
111.125
111.125
111.125
111.055
111.09
111.09
111.09
111.09
111.09
111.09
111.09
111.09
111.09
111.09
111.16
111.16
111.16
111.16
111.16
111.16
111.16
110.92
110.92
110.795
110.795
110.795
110.795
110.825
110.825
110.825
110.82
110.82
110.82
110.82
110.82
110.82
110.82
110.82
110.84
110.84
110.83
110.83
110.83
110.83
110.83
110.83
110.83
110.83
110.83
110.87
110.89
110.89
110.89
110.89
110.89
110.89
110.89
110.85
110.85
110.84
110.86
110.87
110.92
110.89
110.89
110.89
110.89
110.89
110.9
110.9
110.97
111.0
111.07
111.09
111.05
111.06
111.06
111.06
111.06
111.015
111.015
111.01
111.01
111.01
111.01
111.01
111.0
111.0
111.0
110.91
110.9
110.9
110.9
110.91
110.91
110.91
110.94
110.94
110.94
110.94
110.94
110.94
110.94
110.95
110.95
110.95
110.95
110.95
110.95
110.95
110.95
110.95
110.96
110.96
110.93
110.93
110.93
110.93
110.93
110.93
110.89
110.89
110.89
110.89
110.87
110.87
110.87
110.87
110.87
110.87
110.77
110.77
110.77
110.77
110.77
110.77
110.7
110.7
110.7
110.73
110.73
110.73
110.73
110.73
110.73
110.61
110.615
110.59
110.59
110.59
110.67
110.67
110.67
110.67
110.67
110.55
110.5
110.5
110.5
110.5
110.5
110.48
110.48
110.48
110.48
110.48
110.48
110.48
110.46
110.46
110.46
110.28
110.28
110.28
110.28
110.28
110.38
110.38
110.38
110.38
110.38
110.38
110.38
110.38
110.48
110.48
110.43
110.41
110.41
110.42
110.37
110.47
110.47
110.47
110.43
110.45
110.5
110.54
110.54
110.57
110.585
110.61
110.56
110.56
110.605
110.57
110.6
110.6
110.575
110.59
110.6
111.0
110.925
110.925
110.925
110.925
110.63
110.53
110.53
110.53
110.255
110.33
110.33
110.42
110.42
