ESRX
""
""
""
""
""
95.36
95.36
95.35
95.36
95.36
95.36
95.37
95.4
95.4
95.4
95.49
95.49
95.44
95.44
95.46
95.46
95.46
95.46
95.43
95.48
95.505
95.51
95.51
95.51
95.505
95.51
95.51
95.46
95.46
95.46
95.5
95.5
95.5
95.5
95.51
95.47
95.39
95.42
95.42
95.42
95.42
95.42
95.4
95.39
95.39
95.39
95.39
95.39
95.42
95.42
95.42
95.435
95.435
95.42
95.41
95.43
95.36
95.36
95.36
95.29
95.29
95.3
95.3
95.3
95.3
95.31
95.32
95.32
95.33
95.33
95.34
95.395
95.4
95.4
95.4
95.4
95.4
95.52
95.47
95.52
95.52
95.52
95.585
95.585
95.585
95.6
95.6
95.6
95.635
95.63
95.66
95.61
95.63
95.64
95.71
95.71
95.7
95.7
95.73
95.73
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.72
95.62
95.62
95.6
95.6
95.58
95.58
95.58
95.58
95.58
95.58
95.47
95.41
95.39
95.39
95.4
95.4
95.4
95.4
95.4
95.4
95.36
95.35
95.35
95.305
95.305
95.29
95.325
95.32
95.305
95.33
95.31
95.31
95.31
95.31
95.34
95.34
95.355
95.44
95.44
95.44
95.47
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.48
95.445
95.445
95.5
95.5
95.465
95.465
95.465
95.465
95.445
95.445
95.5
95.5
95.5
95.5
95.48
95.48
95.48
95.48
95.48
95.48
95.445
95.445
95.46
95.46
95.46
95.395
95.33
95.325
95.32
95.325
95.32
95.32
95.32
95.36
95.44
95.44
95.44
95.44
95.44
95.44
95.44
95.48
95.48
95.48
95.495
95.49
95.495
95.51
95.51
95.51
95.51
95.54
95.54
95.54
95.54
95.54
95.54
95.54
95.62
95.62
95.635
95.64
95.68
95.68
95.68
95.69
95.69
95.645
95.645
95.645
95.66
95.66
95.675
95.675
95.675
95.675
95.675
95.61
95.635
95.63
95.63
95.63
95.565
95.59
95.59
95.59
95.585
95.585
95.585
95.585
95.585
95.585
95.585
95.505
95.505
95.505
95.505
95.505
95.505
95.505
95.505
95.45
95.45
95.45
95.45
95.465
95.465
95.465
95.465
95.465
95.465
95.465
95.4
95.4
95.4
95.4
95.4
95.4
95.4
95.345
95.345
95.345
95.345
95.345
95.345
95.345
95.345
95.39
95.39
95.39
95.39
95.39
95.39
95.39
95.35
95.35
95.35
95.34
95.34
95.31
95.31
95.3
95.3
95.3
95.27
95.27
95.27
95.27
95.27
95.16
95.16
95.15
95.15
95.145
95.145
95.13
95.12
95.135
95.135
95.16
95.17
95.145
95.145
95.145
95.13
95.13
95.12
95.12
95.09
95.085
95.085
95.105
95.09
95.1
95.1
95.1
95.1
95.1
95.12
95.145
95.16
95.16
95.17
95.18
95.22
95.245
95.24
95.26
95.245
95.26
95.245
95.23
95.21
95.215
95.23
95.24
95.245
95.25
95.25
95.275
95.26
95.26
95.25
95.25
95.255
95.255
95.25
95.27
95.24
95.205
95.25
95.25
95.305
95.26
""
95.68
95.68
95.7
95.78
95.78
95.78
95.69
95.68
95.7
95.72
95.72
95.72
95.71
