JPM
113.4
113.205
113.2
113.13
113.26
113.49
113.5
113.6
113.82
113.67
113.79
113.66
113.58
113.62
113.79
113.58
113.61
113.555
113.52
113.44
113.41
113.42
113.53
113.4
113.36
113.39
113.35
113.44
113.44
113.405
113.36
113.37
113.44
113.45
113.41
113.39
113.37
113.46
113.36
113.45
113.43
113.43
113.385
113.4
113.36
113.275
113.22
113.14
113.17
113.11
113.195
113.095
113.05
113.06
113.06
113.065
113.05
113.03
112.99
113.02
112.98
112.99
113.06
112.93
112.89
112.94
112.93
112.94
112.94
112.93
112.94
112.985
112.97
112.995
112.98
113.01
113.025
113.05
113.0
113.1
113.12
113.13
113.23
113.22
113.23
113.325
113.36
113.34
113.35
113.355
113.325
113.43
113.48
113.55
113.59
113.6
113.66
113.655
113.71
113.66
113.64
113.64
113.59
113.64
113.65
113.695
113.645
113.63
113.59
113.54
113.525
113.51
113.49
113.49
113.5
113.53
113.47
113.53
113.51
113.44
113.4
113.41
113.47
113.5
113.445
113.41
113.44
113.445
113.41
113.45
113.42
113.44
113.56
113.64
113.71
113.78
113.88
113.85
113.83
113.85
113.78
113.745
113.71
113.74
113.76
113.76
113.705
113.675
113.66
113.67
113.685
113.71
113.68
113.66
113.58
113.605
113.615
113.65
113.64
113.67
113.685
113.675
113.6
113.56
113.53
113.51
113.51
113.5
113.47
113.485
113.46
113.43
113.445
113.49
113.49
113.45
113.44
113.46
113.44
113.46
113.47
113.46
113.51
113.575
113.575
113.58
113.61
113.58
113.58
113.62
113.63
113.62
113.61
113.61
113.55
113.59
113.525
113.53
113.53
113.55
113.6
113.55
113.57
113.59
113.58
113.565
113.55
113.53
113.51
113.51
113.51
113.525
113.515
113.52
113.51
113.49
113.49
113.49
113.5
113.46
113.46
113.53
113.57
113.55
113.57
113.65
113.6
113.595
113.59
113.57
113.55
113.52
113.585
113.575
113.53
113.52
113.51
113.51
113.48
113.5
113.52
113.54
113.51
113.495
113.49
113.5
113.49
113.49
113.47
113.49
113.49
113.5
113.5
113.51
113.56
113.585
113.58
113.6
113.61
113.61
113.63
113.61
113.6
113.595
113.63
113.67
113.74
113.78
113.76
113.785
113.83
113.87
113.94
113.89
113.9
113.9
113.875
113.86
113.845
113.92
113.905
113.845
113.87
113.88
113.89
113.92
113.94
113.94
113.93
113.89
113.91
113.87
113.92
113.9
113.905
113.9
113.905
113.94
113.97
114.01
113.985
113.98
113.96
113.99
114.0
113.95
113.96
113.92
113.91
113.92
113.95
113.92
113.905
113.85
113.86
113.87
113.9
113.91
113.87
113.86
113.86
113.845
113.875
113.865
113.875
113.91
113.875
113.875
113.875
113.92
113.91
113.9
113.84
113.82
113.86
113.85
113.855
113.87
113.89
113.93
113.925
113.89
113.87
113.9
113.875
113.87
113.85
113.86
113.785
113.77
113.78
113.77
113.8
113.86
113.86
113.935
113.91
113.93
113.89
113.905
114.02
114.03
114.085
114.11
114.05
114.03
114.01
114.0
113.93
113.9
113.985
114.02
114.015
114.01
114.015
114.05
114.01
114.025
114.04
114.04
114.0
113.95
113.96
114.02
114.04
114.03
114.02
113.98
113.94
113.99
114.95
115.13
115.16
115.14
115.05
115.07
114.92
114.98
115.07
115.13
115.07
115.1
115.055
115.04
114.94
114.75
114.7
114.68
114.68
114.54
114.585
114.53
114.57
114.555
114.5
114.51
114.58
114.595
114.59
114.62
114.62
114.67
114.71
114.83
114.84
114.92
114.94
114.965
114.9
114.9
114.935
114.855
114.88
114.82
114.86
114.895
114.9
114.85
114.69
114.7
114.66
114.74
114.75
114.86
114.76
114.74
114.79
114.76
114.73
114.71
114.7
114.61
114.65
114.68
114.78
114.8
114.88
114.92
114.85
114.89
114.73
114.83
114.82
114.85
114.81
114.83
114.815
114.84
114.81
114.82
114.925
114.905
114.9
114.93
114.86
114.79
114.87
114.91
114.93
114.93
114.85
114.84
114.85
114.87
114.845
114.78
114.79
114.835
114.815
114.81
114.79
114.75
114.72
114.715
114.665
114.7
114.69
114.76
114.73
114.69
